127.0.0.1 - - [22/Nov/2018:14:36:42 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:36:54 +0800] "GET /Test1/RequestForward HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:36:55 +0800] "GET /Test1/RequestParamsServlet HTTP/1.1" 500 8
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:36:57 +0800] "GET /Test1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:36:59 +0800] "GET /Test1/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:36:59 +0800] "GET /Test1/login.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:19 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:19 +0800] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:23 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:27 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:27 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:30 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:31 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:32 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:33 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:47 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
0:0:0:0:0:0:0:1 - - [22/Nov/2018:14:37:47 +0800] "GET /Test1/LastAccessServlet HTTP/1.1" 500 27
